timestamp,open,high,low,close,volume,datetime
1670209200000,17223,17257,17177,17186.5,3758.944,2022-12-05 03:00:00+00:00
1670212800000,17186.5,17425.5,17186,17346,12506.232,2022-12-05 04:00:00+00:00
1670216400000,17346,17393,17288.5,17322,7254.028,2022-12-05 05:00:00+00:00
1670220000000,17322,17328.5,17269.5,17294,2717.982,2022-12-05 06:00:00+00:00
1670223600000,17294,17347,17279.5,17295,3678.796,2022-12-05 07:00:00+00:00
1670227200000,17295,17369.5,17284.5,17342,5599.351,2022-12-05 08:00:00+00:00
1670230800000,17342,17344.5,17271,17284.5,4044.554,2022-12-05 09:00:00+00:00
1670234400000,17284.5,17313,17267.5,17282.5,2769.121,2022-12-05 10:00:00+00:00
1670238000000,17282.5,17295.5,17275,17295,2384.836,2022-12-05 11:00:00+00:00
1670241600000,17295,17295.5,17215,17240,6088.486,2022-12-05 12:00:00+00:00
1670245200000,17240,17267,17196.5,17224,4536.048,2022-12-05 13:00:00+00:00
1670248800000,17224,17227.5,17164,17196,6301.78,2022-12-05 14:00:00+00:00
1670252400000,17196,17196,17012,17080,17630.167,2022-12-05 15:00:00+00:00
1670256000000,17080,17098.5,16969,17036,7177.501,2022-12-05 16:00:00+00:00
1670259600000,17036,17082.5,16990.5,17054.5,3932.834,2022-12-05 17:00:00+00:00
1670263200000,17054.5,17137.5,17033,17041,4597.918,2022-12-05 18:00:00+00:00
1670266800000,17041,17054,16867,16925.5,13030.189,2022-12-05 19:00:00+00:00
1670270400000,16925.5,16949,16902,16945,2718.906,2022-12-05 20:00:00+00:00
1670274000000,16945,16975,16933.5,16974.5,2550.358,2022-12-05 21:00:00+00:00
1670277600000,16974.5,16975,16933.5,16940.5,2147.289,2022-12-05 22:00:00+00:00
1670281200000,16940.5,16986,16916.5,16966,2555.271,2022-12-05 23:00:00+00:00
1670284800000,16966,17046,16965.5,17035,3357.001,2022-12-06 00:00:00+00:00
1670288400000,17035,17093,17015,17024,5671.124,2022-12-06 01:00:00+00:00
1670292000000,17024,17068.5,17000,17018,2696.842,2022-12-06 02:00:00+00:00
1670295600000,17018,17045,16990,16993,1963.881,2022-12-06 03:00:00+00:00
1670299200000,16993,17007.5,16965,16996,2914.6,2022-12-06 04:00:00+00:00
1670302800000,16996,17000,16957.5,16972.5,1484.344,2022-12-06 05:00:00+00:00
1670306400000,16972.5,17018.5,16954,16995,2085.505,2022-12-06 06:00:00+00:00
1670310000000,16995,17013.5,16986,16998.5,1223.345,2022-12-06 07:00:00+00:00
1670313600000,16998.5,17038.5,16965.5,17030,3037.689,2022-12-06 08:00:00+00:00
1670317200000,17030,17030.5,16962.5,16966,3281.444,2022-12-06 09:00:00+00:00
1670320800000,16966,16973.5,16921,16962,4085.094,2022-12-06 10:00:00+00:00
1670324400000,16962,16984,16903.5,16976,3806.242,2022-12-06 11:00:00+00:00
1670328000000,16976,17017.5,16972,16993.5,3133.126,2022-12-06 12:00:00+00:00
1670331600000,16993.5,17027,16974,16979.5,2825.43,2022-12-06 13:00:00+00:00
1670335200000,16979.5,17004,16952,16961,4265.021,2022-12-06 14:00:00+00:00
1670338800000,16961,17012,16920,16971,5932.069,2022-12-06 15:00:00+00:00
1670342400000,16971,17010,16961.5,16977.5,2367.225,2022-12-06 16:00:00+00:00
1670346000000,16977.5,16992.5,16938,16951,2999.481,2022-12-06 17:00:00+00:00
1670349600000,16951,16988.5,16905,16965.5,6075.216,2022-12-06 18:00:00+00:00
1670353200000,16965.5,16974,16918,16959.5,2541.602,2022-12-06 19:00:00+00:00
1670356800000,16959.5,16985.5,16946,16985,2077.28,2022-12-06 20:00:00+00:00
1670360400000,16985,17004.5,16973.5,16991.5,1836.393,2022-12-06 21:00:00+00:00
1670364000000,16991.5,16991.5,16955,16967,1286.711,2022-12-06 22:00:00+00:00
1670367600000,16967,17116.5,16967,17081.5,9119.168,2022-12-06 23:00:00+00:00
1670371200000,17081.5,17135,17047,17059.5,4393.594,2022-12-07 00:00:00+00:00
1670374800000,17059.5,17068.5,17016,17035,2687.163,2022-12-07 01:00:00+00:00
1670378400000,17035,17054,17031.5,17047.5,1302.055,2022-12-07 02:00:00+00:00
1670382000000,17047.5,17047.5,17010.5,17018,1294.508,2022-12-07 03:00:00+00:00
1670385600000,17018,17032.5,17011.5,17032.5,850.618,2022-12-07 04:00:00+00:00
1670389200000,17032.5,17036.5,16963,17000.5,3252.373,2022-12-07 05:00:00+00:00
1670392800000,17000.5,17001,16925.5,16944.5,3231.76,2022-12-07 06:00:00+00:00
1670396400000,16944.5,16944.5,16718,16765,20115.204,2022-12-07 07:00:00+00:00
1670400000000,16765,16810.5,16666.5,16793,8660.227,2022-12-07 08:00:00+00:00
1670403600000,16793,16828.5,16790,16828,3208.833,2022-12-07 09:00:00+00:00
1670407200000,16828,16828.5,16784,16821,2679.115,2022-12-07 10:00:00+00:00
1670410800000,16821,16826,16776,16788,2468.255,2022-12-07 11:00:00+00:00
1670414400000,16788,16802,16755.5,16786,2511.956,2022-12-07 12:00:00+00:00
1670418000000,16786,16863.5,16785.5,16847.5,5776.822,2022-12-07 13:00:00+00:00
1670421600000,16847.5,16885,16811,16830,5792.528,2022-12-07 14:00:00+00:00
1670425200000,16830,16846,16800,16829,3403.434,2022-12-07 15:00:00+00:00
1670428800000,16829,16838,16771.5,16802.5,3709.353,2022-12-07 16:00:00+00:00
1670432400000,16802.5,16819,16791.5,16794.5,1276.134,2022-12-07 17:00:00+00:00
1670436000000,16794.5,16829.5,16777,16777.5,1490.688,2022-12-07 18:00:00+00:00
1670439600000,16777.5,16825.5,16776,16807.5,1578.768,2022-12-07 19:00:00+00:00
1670443200000,16807.5,16834,16795,16812.5,1208.028,2022-12-07 20:00:00+00:00
1670446800000,16812.5,16823,16798,16823,1261.24,2022-12-07 21:00:00+00:00
1670450400000,16823,16860.5,16784.5,16834.5,2501.073,2022-12-07 22:00:00+00:00
1670454000000,16834.5,16853,16819.5,16823,1415.813,2022-12-07 23:00:00+00:00
1670457600000,16823,16878.5,16797.5,16801,3457.381,2022-12-08 00:00:00+00:00
1670461200000,16801,16831.5,16773.5,16817,2650.657,2022-12-08 01:00:00+00:00
1670464800000,16817,16870.5,16798,16835.5,2568.244,2022-12-08 02:00:00+00:00
1670468400000,16835.5,16854,16820,16824,1615.455,2022-12-08 03:00:00+00:00
1670472000000,16824,16837,16800,16805.5,1291.055,2022-12-08 04:00:00+00:00
1670475600000,16805.5,16812.5,16790,16809,1360.482,2022-12-08 05:00:00+00:00
1670479200000,16809,16809,16776,16791,2398.583,2022-12-08 06:00:00+00:00
1670482800000,16791,16833,16791,16813.5,1440.405,2022-12-08 07:00:00+00:00
1670486400000,16813.5,16827,16811.5,16827,997.86,2022-12-08 08:00:00+00:00
1670490000000,16827,16835.5,16787.5,16792,1982.008,2022-12-08 09:00:00+00:00
1670493600000,16792,16821,16792,16813.5,1190.114,2022-12-08 10:00:00+00:00
1670497200000,16813.5,16850.5,16702.5,16840.5,7587.57,2022-12-08 11:00:00+00:00
1670500800000,16840.5,16877,16817,16818,5149.936,2022-12-08 12:00:00+00:00
1670504400000,16818,16860,16792,16850,4037.253,2022-12-08 13:00:00+00:00
1670508000000,16850,16920,16822.5,16892.5,6217.335,2022-12-08 14:00:00+00:00
1670511600000,16892.5,16948,16877,16907,8416.739,2022-12-08 15:00:00+00:00
1670515200000,16907,16945.5,16902,16937,2930.223,2022-12-08 16:00:00+00:00
